Player,Team,Role
MS Dhoni CSK,NIRAV11,BAT
Rishabh Pant LSG,NIRAV11,BAT
Travis Head srh,NIRAV11,BAT
jitesh sharma,NIRAV11,BAT
rajat patidar,NIRAV11,BAT
Dewald Brevis,NIRAV11,BAT
kartik sharma, NIRAV11,BAT
Naman Dhir,NIRAV11,BAT
Cameron Green,NIRAV11,AR
Akeal Hosein,NIRAV11,AR
Anukul Roy,NIRAV11,AR
Mohammed Siraj,NIRAV11,BOWL
Mohsin Khan,NIRAV11,BOWL
Brydon Carse,NIRAV11,BOWL
Mayank Markande,NIRAV11,BOWL
Umran Malik,NIRAV11,BOWL
Ishan Kishan srh,MEET11,BAT
Shubman Gill gt,MEET11,BAT
Ajinkya Rahane kkr,MEET11,BAT
vaibhav suryavanshi rr,MEET11,BAT
ramandeep singh kkr,MEET11,BAT
karun nair dc,MEET11,BAT
jacob bethel rcb,MEET11,AR
vipraj nigam dc,MEET11,AR
Rahul Tewatia gt,MEET11,AR
Jason Holder gt,MEET11,AR
kamindu mendis srh,MEET11,BOWL
tushar deshpande rr,MEET11,BOWL
Ravi Bishnoi rr,MEET11,BOWL
Khaleel Ahmed csk,MEET11,BOWL
am ghazanfar mi,MEET11,BOWL
anshul kamboj csk,MEET11,BOWL
Harsh Dubey srh,MEET11,BOWL
Kuldeep sen rr,MEET11,BOWL
Quinton de Kock,VATSAL11,BAT
Heinrich Klaasen,VATSAL11,BAT
Tom Banton,VATSAL11,BAT
Nitish Kumar Reddy,VATSAL11,BAT
Tim Siefert,VATSAL11,BAT
glenn phillips,VATSAL11,BAT
Romario Shepherd,VATSAL11,BAT
Ravindra Jadeja,VATSAL11,AR
Shardul Thakur,VATSAL11,AR
Marcus Stoinis,VATSAL11,AR
Prasidh Krishna,VATSAL11,BOWL
Lockie Ferguson,VATSAL11,BOWL
Jacob Duffy,VATSAL11,BOWL
Sandeep Sharma,VATSAL11,BOWL
Adam Milne,VATSAL11,BOWL
Corbin Bosch,VATSAL11,BOWL
Deepak Chahar,VATSAL11,BOWL
Rahul Chahar,VATSAL11,BOWL
Sanju Samson,BABA11,BAT
Jos Inglis,BABA11,BAT
David Miller,BABA11,BAT
Dhruv Jurel,BABA11,BAT
Ayush Badoni,BABA11,BAT
Prithvi Shaw,BABA11,BAT
ryan rickelton,BABA11,BAT
Rinku Singh,BABA11,BAT
Shivam Dube,BABA11,BAT
Rowman Powell,BABA11,BAT
